Sample,Subgroup,17:35076296-35282086
Array.129,HER2+,2
Array.34,HR+,0
Array.67,HR+,-1
Array.24,Triple Neg,0
Array.36,HR+,-1
Array.49,HER2+,2
Array.16,HER2+,2
Array.143,HER2+,2
Array.62,Triple Neg,0
Array.76,HER2+,2
Array.154,Triple Neg,0
Array.48,HR+,1
Array.39,HR+,0
Array.112,Triple Neg,-1
Array.79,HER2+,2
Array.19,HER2+,2
Array.27,HR+,0
Array.69,Triple Neg,1
Array.73,HER2+,2
Array.95,HR+,0
Array.98,HR+,0
Array.138,HER2+,2
Array.101,HR+,0
Array.90,Triple Neg,-1
Array.85,HR+,0
Array.114,Triple Neg,-1
Array.56,HR+,-1
Array.5,Triple Neg,-1
Array.8,HR+,0
Array.113,Triple Neg,0
Array.148,HER2+,2
Array.25,Triple Neg,1
Array.141,HR+,0
Array.43,HR+,0
Array.159,Triple Neg,-1
Array.88,Triple Neg,1
Array.125,HER2+,2
Array.50,Triple Neg,0
Array.23,HR+,1
Array.68,HER2+,2
Array.94,HR+,0
Array.153,Triple Neg,-1
Array.51,HER2+,2
Array.142,HR+,1
Array.144,HER2+,2
Array.78,HER2+,2
Array.18,HER2+,2
Array.75,HER2+,2
Array.139,HER2+,2
Array.117,HR+,0
Array.104,Triple Neg,0
Array.137,HR+,0
Array.145,Triple Neg,0
Array.31,Triple Neg,0
Array.53,HER2+,2
Array.59,HR+,0
Array.71,Triple Neg,0
Array.64,Triple Neg,0
Array.30,Triple Neg,0
Array.93,Triple Neg,0
Array.10,HER2+,2
Array.123,HR+,0
Array.100,HR+,0
Array.134,HR+,1
