Sample,Subgroup,17:35076296-35282086
Array.129,HER2+,2
Array.34,HR+,0
Array.67,HR+,-1
Array.24,Triple Neg,0
Array.36,HR+,-1
Array.49,HER2+,2
Array.16,HER2+,2
Array.65,HR+,0
Array.4,HER2+,2
Array.76,HER2+,2
Array.118,Triple Neg,0
Array.154,Triple Neg,0
Array.48,HR+,1
Array.6,HER2+,2
Array.39,HR+,0
Array.112,Triple Neg,-1
Array.79,HER2+,2
Array.124,HR+,0
Array.27,HR+,0
Array.69,Triple Neg,1
Array.73,HER2+,2
Array.95,HR+,0
Array.98,HR+,0
Array.33,HR+,-1
Array.138,HER2+,2
Array.101,HR+,0
Array.57,Triple Neg,0
Array.105,HER2+,2
Array.114,Triple Neg,-1
Array.56,HR+,-1
Array.5,Triple Neg,-1
Array.8,HR+,0
Array.113,Triple Neg,0
Array.148,HER2+,2
Array.25,Triple Neg,1
Array.141,HR+,0
Array.43,HR+,0
Array.125,HER2+,2
Array.50,Triple Neg,0
Array.68,HER2+,2
Array.94,HR+,0
Array.153,Triple Neg,-1
Array.142,HR+,1
Array.144,HER2+,2
Array.37,HR+,0
Array.18,HER2+,2
Array.139,HER2+,2
Array.2,HR+,1
Array.117,HR+,0
Array.60,HR+,0
Array.38,Triple Neg,-1
Array.72,HER2+,2
Array.104,Triple Neg,0
Array.31,Triple Neg,0
Array.135,Triple Neg,0
Array.21,HER2+,2
Array.53,HER2+,2
Array.71,Triple Neg,0
Array.107,Triple Neg,-1
Array.64,Triple Neg,0
Array.30,Triple Neg,0
Array.10,HER2+,2
Array.123,HR+,0
Array.134,HR+,1
