Sample,Subgroup,3:18712267-19922255,17:35076296-35282086,11:69744088-69954921,11:54836429-55118214,12:31173065-31257959,16:82128902-83298645,3:75914406-75957900,5:802518-826044,12:63340667-63566937,12:51241859-52425218,1:38432360-38569674,1:199087690-199111062,6:204528-238441,17:61247968-61578637,20:194755-763411,17:41577520-41644979,1:2870100-2880675,16:72933295-73012768,6:611289-618999,11:78005966-78127149,6:55859081-57298746,1:193480150-193527058,6:40747924-42826227,14:21518235-22000194,11:58566389-58626432,14:106216726-106349756,1:141474904-141491470,16:59325545-61138989,3:24543616-25463517,21:34132594-34805333,1:16126501-16531740,1:370546-372295,10:96121352-99263776,3:87336579-87661897,5:54350373-55141379,2:34904779-39267014,8:35875555-36133992,1:16954838-16997273,15:66484574-67862006,11:59180249-59841891,14:48586397-48763420,11:57452577-57968617,1:142570866-142598507,6:32766023-32821094,3:127015333-127130406,16:68710277-68751390,2:131792734-131931782,11:79858760-79974644,16:67314736-68371045,18:42452207-44456688,6:32672983-32702995,17:7522884-8559106,6:1361599-1435871,17:35991941-36074566,7:143321677-143391065,9:43094089-43410478,8:97639200-98703368,16:30561643-31835555,16:27639967-28503138,22:37683612-37705310,16:69391442-69397102,18:51630663-51747511,9:40361684-40520747,5:150148732-150201145,14:19268776-19330937,22:37717564-37801946,16:48783687-49225359,12:36160215-36244407,11:69968689-69976020,8:76956931-78656441,14:96585545-96889176,14:18149473-18537177,18:51767179-55758094,1:149579637-149582884,8:54691654-55840039,11:5742476-5762182,9:42913008-43066618,1:149369522-149394958,5:62457701-65999278,1:245009770-245014643,6:18550170-19001738,17:66493468-66940678,6:128614174-131296266,8:12511855-12602139,19:232836-236846,6:85623360-89090699,8:184617-808139,6:102825672-106012872,23:3229-45135,17:1542118-1560766,6:26071233-26265245,7:141965869-141978333,1:2664285-2665530,1:120313797-120384620,6:77126953-77532707,15:32447707-32511475,6:19049822-20716660,16:28087-37133,17:984101-1003742,16:41636-151666,6:89106148-90015649,22:22725750-22731544,1:239391358-239517083,6:97827305-98245127,8:25114132-25774629,14:105602756-105630089,17:8567837-9872633,17:76653190-76693851,15:32605086-32654561,8:98721543-100441109
Array.129,HER2+,-1,2,-1,0,1,1,-1,0,1,1,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,-1,0,0,1,-1,1,0,0,0,-1,-1,1,-1,0,-1,-1,0,0,0,0,0,1,0,-1,1,-1,0,-1,-1,-1,0,0,0,0,0,0,1,-1,0,0,1,0,1,1,-1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,1,0,1,0,-1,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,-1,0
Array.67,HR+,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,1,0,-1,0,-1,0,1,0,0,-1,0,0,-1,0,-1,-1,0,-1,-1,1,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,1,0,-1,0,0,1,-1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,0,-1,0,-1,0,-1,-1,-1,1,-1,-1,-1,0
Array.22,Triple Neg,1,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,1,-1,1,0,1,-1,1,1,0,0,1,-1,1,0,-1,0,0,1,0,0,0,-1,0,0,0,0,1,1,0,-1,0,0,-1,0,0,0,1,0,0,0,1,0,0,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,-1,0,-1,0,1,1,0,-1,0,-1,-1,0,-1,0,0,1,0,0,0,-1,-1,1,0,0,0,-1,0,1,-1,0,-1,0,0,-1,1
Array.36,HR+,0,-1,0,-1,1,0,0,0,0,0,0,-1,0,2,1,-1,0,-1,0,-1,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,2,0,-1,0,0,1,0,-1,0,0,0,0,0,-1,0,-1,-1,0,-1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0
Array.146,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.4,HER2+,1,2,0,0,-1,-1,-1,-1,0,-1,0,0,1,-1,-1,-1,1,0,1,0,-1,1,-1,0,0,-1,0,0,-1,0,-1,-1,0,-1,-1,1,0,-1,-1,0,-1,0,1,-1,-1,1,0,0,0,0,-1,-1,2,-1,0,0,1,0,0,-1,1,0,-1,-1,0,0,0,-1,0,1,-1,-1,0,1,1,0,0,1,-1,1,1,-1,0,-1,0,0,-1,0,1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,1
Array.76,HER2+,-1,2,0,0,0,0,-1,1,0,0,0,0,0,-1,-1,-1,0,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,0,-1,0,-1,0,0,0,1,0,0,-1,0,1,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,1,0,-1,0,1,-1,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,1,0,-1,-1,-1,-1,-1,0
Array.118,Triple Neg,0,0,0,1,-1,0,0,1,0,0,1,0,0,0,1,-1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,0,-1,0,1,-1,0,0,0,0,-1,1,1,1,0,1,1,0,1,1,1,1,0,-1,0,0,0,-1,1
Array.48,HR+,-1,1,1,0,-1,0,-1,0,1,1,0,-1,0,1,0,0,0,-1,0,1,1,1,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,1,-1,0,0,0,-1,0,0,0,1,-1,-1,0,1,1,0,1,1,0,-1,0,1,0,1,-1,-1,0,0,1,1,-1,-1,-1,1,1,-1,0,0,0,1,0,1,0,-1,-1,-1,-1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,-1,-1,1,-1,-1,-1,-1,1,1,1
Array.6,HER2+,0,2,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,-1,-1,0,0,0,0,1,-1,1,-1,0,0,0,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,1,1,0,0,-1,0,-1,-1,0,-1,-1,1,-1,1,0,-1,0,1,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,0
