Feature,Importance
1:74137824-74816963,0.10663828
3:18712267-19922255,0.07913798
17:77653668-77696106,0.06770829
1:35903416-37578554,0.06608014
22:40072147-41213949,0.043900497
6:18550170-19001738,0.038161557
17:35076296-35282086,0.034143116
5:96637773-98418818,0.032472026
5:96522323-96603723,0.02733556
15:53166-592121,0.025588356
10:47735472-47954413,0.024383733
6:22060377-24236375,0.021714652
3:46761824-46823673,0.020107789
14:19268776-19330937,0.016253864
6:30100446-31385778,0.015591837
12:97156507-97840955,0.014198419
21:13461550-13635227,0.014063595
14:24937976-25845033,0.013382207
8:97639200-98703368,0.012522092
8:42333867-42484474,0.01234038
1:16672053-16680432,0.011653397
3:170472437-173237997,0.011526809
3:75870144-75896020,0.011340466
1:245009770-245014643,0.011040612
2:61025070-61061211,0.010814626
18:14079350-14091534,0.010710402
1:199087690-199111062,0.010456714
6:165690639-165715368,0.01030382
16:68710277-68751390,0.010214064
2:106409285-110341019,0.009683685
1:16693433-16750002,0.009295828
23:3229-45135,0.00901262
12:68281534-69298703,0.008902443
22:38968144-39093020,0.008703788
9:64150817-67731038,0.008631075
15:18722595-18790589,0.008576882
17:5343504-7517491,0.0079332795
1:149369522-149394958,0.007852513
4:162205286-162321148,0.007184378
1:118811438-119105315,0.006901825
8:39356595-39363050,0.006517462
4:69215734-69311985,0.006270478
9:42913008-43066618,0.006133662
14:32610323-34077415,0.005182736
1:149591108-149598429,0.0051421416
1:16757397-16794038,0.0051083257
17:40859120-40926154,0.005091884
12:97852156-98629015,0.0050720433
17:1859252-1859812,0.0048820577
1:2664285-2665530,0.0047902535
8:43143792-43155815,0.0046791877
12:11404653-11430887,0.004394883
16:68838368-68874167,0.004172691
12:70462057-70560603,0.004139416
6:89106148-90015649,0.003779316
14:19505698-19515781,0.0034639162
11:61927382-62259438,0.0033768448
18:42452207-44456688,0.003354858
5:69274433-70345552,0.0032275321
22:23022675-23926329,0.0030816754
12:64727853-66012212,0.00282568
8:63810-90816,0.0024322297
11:5849760-5891661,0.0024008208
1:16126501-16531740,0.0022370012
1:141474904-141491470,0.002128066
1:245150122-245299678,0.0017678584
6:315257-320890,0.0017674591
22:41917843-42643973,0.0017651819
1:17042808-19187091,0.0017206948
14:57601882-59282484,0.0016358068
16:69391442-69397102,0.0015807181
14:37627931-38890108,0.001138378
16:72933295-73012768,0.0010853414
6:62077839-62654445,0.0010646743
1:1676445-1703748,0.0010347577
17:42161364-42296514,0.0009147388
16:68606309-68648091,0.0008498032
18:4316-75432,0.00075583614
15:32605086-32654561,0.00066944846
5:44516010-44864831,0.0006601408
7:38077657-38154547,0.00033527176
15:22038880-22138119,0.00032691337
16:56778209-58439142,0.00027278185
14:66683727-67322584,0.0002417067
22:37683612-37705310,5.6476474e-05
16:82128902-83298645,7.2442613e-06
