Feature,Importance
17:35076296-35282086,0.10819118
16:67314736-68371045,0.06588769
4:102672728-104401802,0.055974342
12:63574243-64694907,0.054359723
22:22725750-22731544,0.04941973
17:61247968-61578637,0.040173117
16:45322798-45965768,0.03911314
3:18712267-19922255,0.038510013
11:19570565-20098137,0.036182083
15:55258039-57620619,0.034310836
14:35347136-36478421,0.025730276
5:150148732-150201145,0.021842446
11:76374332-76586638,0.020152036
5:802518-826044,0.018596603
15:53166-592121,0.016112318
9:40361684-40520747,0.01542877
6:18550170-19001738,0.014934244
12:70462057-70560603,0.014274188
23:959048-1235529,0.013262171
3:75479859-75535753,0.01319931
1:199087690-199111062,0.013089918
18:19733211-22259536,0.0113258585
20:194755-763411,0.011192124
5:69274433-70345552,0.011177498
5:763494-786455,0.009822332
6:64633346-64705894,0.008832739
14:21420105-21448635,0.008134201
6:32766023-32821094,0.007958206
8:39356595-39363050,0.0079579875
2:216395222-217154796,0.007909669
1:189337051-193443252,0.007773791
22:26999547-27819338,0.0077392524
3:87336579-87661897,0.0077034924
16:72933295-73012768,0.007129639
1:12833868-13002452,0.0070323935
16:69391442-69397102,0.006740493
3:89488409-89516057,0.006626228
11:3327942-5733442,0.0065264576
10:45478103-45534651,0.006505772
18:24650677-28276824,0.0064232126
11:68740184-68819585,0.006235644
12:74674175-74721164,0.0059795086
11:58439169-58548776,0.005918289
1:145820605-146012014,0.0056729484
1:193480150-193527058,0.0055535506
9:43094089-43410478,0.005330795
5:54350373-55141379,0.0053217104
5:62457701-65999278,0.005228934
5:34119335-34407822,0.005026074
3:19936335-24520200,0.004820306
18:22269177-22793854,0.0047673015
11:74773664-74787471,0.0047156047
15:20307869-20387327,0.0039152517
15:57627602-58554678,0.003811829
20:60193218-60328797,0.0034648457
3:41249898-46752789,0.0033077728
6:1358498-1359129,0.0031872112
4:104413477-106965473,0.0031847937
6:611289-618999,0.0030794817
2:34904779-39267014,0.0028922611
22:22651385-22665928,0.002635946
6:252939-284743,0.0026320138
1:117757490-118781178,0.002531005
1:149579637-149582884,0.0022748471
1:2664285-2665530,0.0022561485
1:149369522-149394958,0.0019439461
1:46054586-46436383,0.0018793377
11:68821295-68894909,0.0018487681
6:40747924-42826227,0.0018113559
8:39368509-39505256,0.001634522
16:68710277-68751390,0.0014782838
6:110490286-110621141,0.0013823145
16:30561643-31835555,0.0013380183
23:1317216-1398694,0.0013108612
11:71381835-71406223,0.0012482192
18:51630663-51747511,0.0010935995
6:89106148-90015649,0.0010842276
6:19049822-20716660,0.0010701491
8:7040596-7261418,0.0010565538
6:102825672-106012872,0.0010149372
1:58269395-58818282,0.0008521137
19:232836-236846,0.00082435564
8:166452-181530,0.0007642749
17:37416931-38029088,0.0007283671
8:32962484-33337952,0.00065727625
1:146581869-146634734,0.0006428658
8:55862289-56770315,0.0005663064
1:149591108-149598429,0.00056355074
17:76653190-76693851,0.000559869
14:105602756-105630089,0.00047682167
23:3229-45135,0.0004761287
1:17042808-19187091,0.00047514084
8:12623479-14185328,0.00045791836
22:41221190-41290227,0.00044773746
22:37683612-37705310,0.00037213587
3:196908262-196937230,0.00029476744
6:170856656-170943103,0.00028691086
22:37717564-37801946,0.00027136898
1:141474904-141491470,0.0002676426
1:239391358-239517083,0.00026291344
9:42913008-43066618,0.00020502234
15:39590440-39979013,0.00017529742
8:36512939-36612488,0.00016691886
1:146525071-146549143,0.00016589537
17:35991941-36074566,0.00015867357
7:38077657-38154547,0.00014741573
17:8567837-9872633,0.00011709598
7:38065862-38069416,0.000107912776
6:97827305-98245127,0.00010184515
1:199273751-199356111,9.531075e-05
17:16578627-16713678,7.204595e-05
15:32605086-32654561,4.3467546e-05
