Sample,Subgroup,17:35076296-35282086
Array.129,HER2+,2
Array.67,HR+,-1
Array.24,Triple Neg,0
Array.36,HR+,-1
Array.49,HER2+,2
Array.143,HER2+,2
Array.65,HR+,0
Array.76,HER2+,2
Array.118,Triple Neg,0
Array.154,Triple Neg,0
Array.48,HR+,1
Array.6,HER2+,2
Array.86,HR+,-1
Array.124,HR+,0
Array.19,HER2+,2
Array.27,HR+,0
Array.106,HER2+,2
Array.69,Triple Neg,1
Array.73,HER2+,2
Array.95,HR+,0
Array.98,HR+,0
Array.17,HER2+,2
Array.138,HER2+,2
Array.149,HR+,1
Array.101,HR+,0
Array.90,Triple Neg,-1
Array.99,Triple Neg,0
Array.57,Triple Neg,0
Array.105,HER2+,2
Array.85,HR+,0
Array.114,Triple Neg,-1
Array.5,Triple Neg,-1
Array.8,HR+,0
Array.113,Triple Neg,0
Array.42,HER2+,2
Array.55,HER2+,2
Array.52,HR+,-1
Array.88,Triple Neg,1
Array.152,HER2+,2
Array.94,HR+,0
Array.78,HER2+,2
Array.82,HR+,0
Array.139,HER2+,2
Array.2,HR+,1
Array.117,HR+,0
Array.60,HR+,0
Array.72,HER2+,2
Array.104,Triple Neg,0
Array.137,HR+,0
Array.145,Triple Neg,0
Array.31,Triple Neg,0
Array.111,Triple Neg,0
Array.7,HR+,-1
Array.21,HER2+,2
Array.53,HER2+,2
Array.71,Triple Neg,0
Array.47,Triple Neg,0
Array.107,Triple Neg,-1
Array.64,Triple Neg,0
Array.30,Triple Neg,0
Array.35,HR+,0
Array.10,HER2+,2
Array.100,HR+,0
Array.130,HER2+,2
