Sample,Subgroup,1:72489681-72620747,1:149369522-149394958,1:193480150-193527058,2:56853626-57106587,2:57141220-60843704,2:61025070-61061211,2:61069435-67262586,2:67280403-69113514,5:140203440-140221835,5:140433878-142819410,5:142831583-149027600,5:150224239-152555267,6:31564655-32119501,6:32718991-32728487,6:32732764-32738443,6:64633346-64705894,6:69820589-70731852,6:119263604-122326220,6:133447975-135173194,6:135520431-136095714,8:36512939-36612488,8:38168564-38303346,8:40546119-41025130,8:41074444-41272917,8:42123757-42175380,8:100449572-100905868,8:100916665-101800174,8:117915188-119933236,8:122563718-123364225,9:42913008-43066618,10:16276793-18410505,10:21880427-21920526,10:43530543-44610674,11:80263397-80790766,12:44923991-45851001,12:64727853-66012212,12:74674175-74721164,12:74728500-75387573,12:75396411-75693696,12:77023447-82859962,12:82881635-83804633,12:83810013-84520659,12:84542006-85443011,12:85450052-85962613,15:18722595-18790589,16:191307-2499608,16:2505009-4665784,16:4670009-9018298,16:18701947-19396257,16:30561643-31835555,16:67314736-68371045,16:68710277-68751390,16:69391442-69397102,17:35076296-35282086,17:39280577-40847517,17:41062669-41447005,17:41458670-41494331,17:41983407-42049540,17:42648686-42873571,17:43389085-43525899,17:77442683-77478901,22:37683612-37705310,22:41293579-41298170,23:3229-45135
Array.22,Triple Neg,0,-1,-1,0,0,0,0,0,-1,0,0,0,1,0,1,1,1,-1,-1,-1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0
Array.49,HER2+,-1,2,1,0,0,0,0,0,0,-1,-1,-1,0,0,1,1,1,0,0,0,2,1,1,1,1,2,2,2,2,0,0,1,0,-1,0,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,-1,-1,-1,1,-1,-1,0,0,-1,0
Array.146,Triple Neg,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.143,HER2+,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,-1,-1,-1,-1,-1,0,1,-1,1,0
Array.65,HR+,0,0,1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,1,1,1,0,-1,-1,1
Array.4,HER2+,-1,1,1,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,1,1,1,1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1
Array.76,HER2+,0,1,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Array.154,Triple Neg,-1,-1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,2,2,2,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1
Array.48,HR+,-1,0,1,0,0,0,0,0,0,1,1,1,0,-1,-1,-1,-1,0,0,0,-1,0,2,2,2,1,1,1,1,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,-1,0,1,1,1,0,1,1,1,0,-1,-1,0
Array.39,HR+,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,-1
Array.86,HR+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0
Array.112,Triple Neg,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1
Array.124,HR+,0,-1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,2,2,2,2,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,2,1,0,1
Array.27,HR+,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1
Array.106,HER2+,0,0,1,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,2,2,2,2,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,0,0,0,1
Array.69,Triple Neg,-1,2,1,0,0,0,0,0,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,0,-1,1
Array.73,HER2+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,2,0,0,0,0,0,0,0,0,0,0
Array.98,HR+,0,-1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,1
Array.17,HER2+,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,1,2,0,2,0,1,1,1,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,0,2,0,0,0,0,-1,-1,0,0,0,0
Array.138,HER2+,1,2,1,0,0,-1,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,1,1,0,-1,-1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,0,0,0
Array.149,HR+,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,2,2,2,2,2,2,2,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,0
Array.105,HER2+,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,-1,0,0
Array.85,HR+,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,0,0
Array.56,HR+,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0
Array.5,Triple Neg,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,1,-1,0,0,1,0,1,0,-1,-1,-1,-1,-1,0,0,1,1,0,1,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,0,1,0,0,1
Array.8,HR+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2,2,2,2,2,2,2,0,0,0,0,-1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
Array.42,HER2+,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,0,1,2,2,0,2,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,-1,-1,-1,0,-1,0,0,-1,-1,1
Array.25,Triple Neg,0,0,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,0,1,1,1,1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,0,0,0,0,1,-1
Array.55,HER2+,0,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,2,2,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,-1,-1,1,0,0,-1,-1,-1,1
Array.141,HR+,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0
Array.159,Triple Neg,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,2,2,2,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,-1,0,0,0
Array.52,HR+,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,1
Array.88,Triple Neg,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,-1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-1,-1,0,1
Array.50,Triple Neg,-1,1,1,1,1,0,1,1,0,0,0,0,1,-1,1,1,1,1,1,1,0,0,0,0,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,-1,1,1
Array.23,HR+,0,2,1,0,0,0,0,0,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,0,-1,2,2,2,1,1,1,1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0
Array.68,HER2+,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,2,0,0,0,-1,0,0,1,0,0,1
